Nodo,Degree,Eigenvector,Betweenness,Clustering
0,0.4777777777777778,0.11809641847184921,0.008700323629270533,0.5548172757475083
3,0.43333333333333335,0.10791866063737952,0.00546606691577458,0.582995951417004
7,0.6666666666666667,0.15236548164857497,0.022641778070170964,0.43728813559322033
8,0.7777777777777778,0.17507125020233558,0.032370316455496775,0.4095238095238095
10,0.7555555555555555,0.17574706472225496,0.02552265890657329,0.44556628621597894
15,0.6888888888888889,0.15426238712997148,0.026016013077675745,0.4108937070333157
16,0.6888888888888889,0.15894543722871066,0.022309777327733392,0.43680592279217345
21,0.6666666666666667,0.14551218155687576,0.025150841584747327,0.3807909604519774
29,0.9666666666666667,0.20277724644613426,0.06347850155878298,0.3440256615878107
34,0.41111111111111115,0.09357655141439573,0.006612030397336796,0.4924924924924925
37,0.888888888888889,0.19164130373689353,0.045379090308901526,0.36265822784810126
39,0.7111111111111111,0.17124499877447605,0.02038915195414487,0.48313492063492064
42,0.8333333333333334,0.18360308340898154,0.038254871564874456,0.38594594594594595
45,0.5222222222222223,0.12849655388252554,0.009331507540356696,0.517113783533765
48,0.8,0.17675093613420642,0.0379608584838198,0.392018779342723
50,0.6888888888888889,0.16070133624377514,0.02277073040415795,0.4473823373876256
60,0.7000000000000001,0.16370620917190806,0.020322620382057725,0.44495647721454173
61,0.8333333333333334,0.1820811561618052,0.04298079320964029,0.38594594594594595
63,0.7000000000000001,0.16569556453814688,0.01952705877943089,0.46236559139784944
81,0.7444444444444445,0.16199991635269848,0.02958124441732195,0.36001809136137497
1,0.15555555555555556,0.0542079979257243,7.309064750809164e-05,0.8901098901098901
44,0.8333333333333334,0.18422824076969305,0.03535328808950677,0.3863063063063063
2,0.13333333333333333,0.0451967947606025,1.1648725097684689e-05,0.9696969696969697
65,0.6666666666666667,0.1532415327912666,0.021002852694587494,0.4231638418079096
4,0.11111111111111112,0.03624703214167102,1.1648725097684689e-05,0.9555555555555556
9,0.6555555555555556,0.15764033049110163,0.01879881455642955,0.4827586206896552
5,0.3111111111111111,0.10499354504114562,0.000702149346357165,0.798941798941799
47,0.45555555555555555,0.11254972911768892,0.006999312439930243,0.5414634146341464
53,0.4777777777777778,0.10896091650811539,0.01217701061908155,0.45071982281284606
59,0.6111111111111112,0.1510738048399848,0.012620858347475372,0.5158249158249159
62,0.48888888888888893,0.11330297611078488,0.01020652584838036,0.4619450317124736
73,0.6111111111111112,0.14371785018151806,0.016889441554803368,0.4727272727272727
6,0.15555555555555556,0.05364542152293906,5.702582626847293e-05,0.9010989010989011
77,0.3888888888888889,0.10622819269542008,0.003338330441104959,0.6773109243697479
11,0.26666666666666666,0.09161398821987932,0.0003926453226868636,0.8333333333333334
12,0.23333333333333334,0.08067730823546551,0.00023629151488838358,0.861904761904762
13,0.2111111111111111,0.07410550458107473,0.00014994659349602438,0.8771929824561403
14,0.2777777777777778,0.09395961719243719,0.0005130150292731582,0.8233333333333334
17,0.16666666666666669,0.058161150737667595,5.9773960034100806e-05,0.9238095238095239
18,0.3,0.10148021189268815,0.000642002241561923,0.8005698005698005
19,0.15555555555555556,0.05298302621279898,9.274731331028784e-05,0.8571428571428571
20,0.2111111111111111,0.07116342957787815,0.00030273366946558796,0.8128654970760234
22,0.2111111111111111,0.07309683538425236,0.00020381203832974584,0.8538011695906432
23,0.26666666666666666,0.08918023682501604,0.0005698518279904598,0.7789855072463768
24,0.22222222222222224,0.07848183937789964,0.00014839766117507322,0.8894736842105263
25,0.23333333333333334,0.08111184673202994,0.00020049919264631218,0.8761904761904762
26,0.2777777777777778,0.09366355173224945,0.0005591672600237013,0.8
27,0.22222222222222224,0.0766112354518616,0.0002840564250447481,0.8263157894736842
28,0.18888888888888888,0.06725212135129544,0.00012881723520373134,0.875
30,0.23333333333333334,0.08274050698733167,0.0002404618136028443,0.8571428571428571
31,0.14444444444444446,0.052004337347841274,7.852155034514762e-05,0.8846153846153846
32,0.2,0.0671321981281038,0.0002531328539302288,0.8431372549019608
33,0.2,0.06975759662839452,0.00017485564188022027,0.8758169934640523
35,0.18888888888888888,0.06563562326293834,0.00012904902889558292,0.8897058823529411
36,0.15555555555555556,0.05697660151658779,4.3150304568887375e-05,0.9340659340659341
38,0.07777777777777778,0.027571715382233516,1.1349449551696742e-05,0.9523809523809523
40,0.2111111111111111,0.07335612798412323,0.00026795520204528166,0.8187134502923976
41,0.3,0.10241583718809652,0.0005258942453197428,0.8262108262108262
43,0.23333333333333334,0.08372982469069004,0.00017810610720352303,0.8809523809523809
46,0.16666666666666669,0.059580036055395406,7.843008183196069e-05,0.8857142857142857
